date,title,album,lyricist,hungama_id,provider,genre,actor_list,language,singers,shortUrl,keywords
2015,"Baaki Baatein Peene Baad (Shots) ""Baaki Baatein Peene Baad"")",Pop Hungama 2016,{'Badshah'},16428365,hungama,Pop,"{'Arjun Kanungo', 'Badshah'}",Hindi,"{'Arjun Kanungo', 'Badshah'}",https://www.hungama.com/song/baaki-baatein-peene-baad-%28shots%29-%22baaki-baatein-peene-baad%22%29/16428365/,"{'Arjun Kanungo', 'Pop Hungama 2016', 'Badshah', 'Baaki Baatein Peene Baad (Shots) ""Baaki Baatein Peene Baad"")'}"
2016,Tooti Bolti,Santa Banta Pvt. Ltd.,{'Kumaar'},17976298,hungama,Soundtrack,"{'Dolly Sandhu', 'Mika Singh', 'Sonu Nigam'}",Hindi,"{'Dolly Sandhu', 'Mika Singh', 'Sonu Nigam'}",https://www.hungama.com/song/tooti-bolti/17976298/,"{'Dolly Sandhu', 'Kumaar', 'Sonu Nigam', 'Tooti Bolti', 'Mika Singh', 'Santa Banta Pvt. Ltd.'}"
2015,Dj Waley Babu,Dj Waley Babu,{'Badshah'},14959428,hungama,Pop,"{'Aastha Gill', 'Badshah'}",Punjabi,"{'Aastha Gill', 'Badshah'}",https://www.hungama.com/song/dj-waley-babu/14959428/,"{'Aastha Gill', 'Dj Waley Babu', 'Badshah'}"
2016,Humne Pee Rakhi Hai,Sanam Re,{'Ikka'},16979207,hungama,Soundtrack,"{'Neha Kakkar', 'Jaz Dhami', 'Ikka'}",Hindi,"{'Neha Kakkar', 'Jaz Dhami', 'Ikka'}",https://www.hungama.com/song/humne-pee-rakhi-hai/16979207/,"{'Neha Kakkar', 'Sanam Re', 'Ikka', 'Jaz Dhami', 'Humne Pee Rakhi Hai'}"
2015,Sharabi,Pyaar Ka Punchnama 2,{'Late Akram Sabri'},16354899,hungama,Soundtrack,"{'Sharib', 'Raja Hasan', 'Toshi'}",Hindi,"{'Sharib', 'Raja Hasan', 'Toshi'}",https://www.hungama.com/song/sharabi/16354899/,"{'Sharabi', 'Raja Hasan', 'Toshi', 'Late Akram Sabri', 'Sharib', 'Pyaar Ka Punchnama 2'}"
2016,House Party,Kyaa Kool Hain Hum 3,{'Danish Sabri'},17018883,hungama,Soundtrack,"{'Shalmali Kholgade', 'Sajid Khan', 'Wajid Khan'}",Hindi,"{'Shalmali Kholgade', 'Sajid Khan', 'Wajid Khan'}",https://www.hungama.com/song/house-party/17018883/,"{'Shalmali Kholgade', 'Danish Sabri', 'Sajid Khan', 'Kyaa Kool Hain Hum 3', 'House Party', 'Wajid Khan'}"
2015,Naach Meri Jaan,ABCD 2,{'Mayur Puri'},6787020,hungama,Soundtrack,"{'Siddharth Basrur', 'Rimi Nique', 'Benny Dayal'}",Hindi,"{'Siddharth Basrur', 'Rimi Nique', 'Benny Dayal'}",https://www.hungama.com/song/naach-meri-jaan/6787020/,"{'Mayur Puri', 'Naach Meri Jaan', 'Siddharth Basrur', 'Rimi Nique', 'Benny Dayal', 'ABCD 2'}"
2014,Party With The Bhoothnath,Bhoothnath Returns,{'Yo Yo Honey Singh'},2449174,hungama,Soundtrack,{'Yo Yo Honey Singh'},Hindi,{'Yo Yo Honey Singh'},https://www.hungama.com/song/party-with-the-bhoothnath/2449174/,"{'Yo Yo Honey Singh', 'Party With The Bhoothnath', 'Bhoothnath Returns'}"
1998,Veda Veda Roopini,Navarathiri Naayakiyae - Vol-2,{'Sri Durgai Chiththar'},1841886,hungama,,{'Mahanadhi Shobana'},Tamil,{'Mahanadhi Shobana'},https://www.hungama.com/song/veda-veda-roopini/1841886/,"{'Sri Durgai Chiththar', 'Veda Veda Roopini', 'Mahanadhi Shobana', 'Navarathiri Naayakiyae - Vol-2'}"
1998,Sri Durgasthavam,Navarathiri Naayakiyae - Vol-1,{'Sri Durgai Chiththar'},1840971,hungama,,{'Mahanadhi Shobana'},Tamil,{'Mahanadhi Shobana'},https://www.hungama.com/song/sri-durgasthavam/1840971/,"{'Sri Durgai Chiththar', 'Navarathiri Naayakiyae - Vol-1', 'Mahanadhi Shobana', 'Sri Durgasthavam'}"
